醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路41號,(03)8358141,510,277,2020/02/13 17:58:35
0291010010,連江縣立醫院,連江縣南竿鄉復興村217號,(083)623995,0,64,2020/02/13 17:58:35
2331240014,新北市平溪區衛生所,新北市平溪區公園街17號1樓,(02)24951015,0,258,2020/02/13 17:58:35
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號,(02)24901431,0,136,2020/02/13 17:58:35
2331290014,新北市烏來區衛生所,新北市烏來區新烏路5段109號,(02)26617200,0,56,2020/02/13 17:58:35
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村3鄰新興街141巷10號,(03)5932004,0,70,2020/02/13 17:58:35
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街2鄰5號,(03)5800314,1,184,2020/02/13 17:58:35
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰99號,(03)5851005,317,126,2020/02/13 17:58:35
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽40號,(03)9801175,64,190,2020/02/13 17:58:35
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路17號,(037)822024,6,74,2020/02/13 17:58:35
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村14鄰8－2號,(037)542755,0,10,2020/02/13 17:58:35
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村130之6號,(037)931309,0,138,2020/02/13 17:58:35
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村2鄰72號,(037)941054,0,152,2020/02/13 17:58:35
2336210034,台中市和平區梨山衛生所,台中市和平區梨山里中正路68號,(04)25989540,112,110,2020/02/13 17:58:35
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段20號,(049)2752002,0,136,2020/02/13 17:58:35
2338120015,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路45號,(049)2791148,2,106,2020/02/13 17:58:35
2340170016,嘉義縣大埔鄉衛生所,嘉義縣大埔鄉大埔村53－1號,(05)2521214,0,110,2020/02/13 17:58:35
2341140012,台南市官田區衛生所,台南市官田區隆田里中山路一段128號,(06)5791493,400,100,2020/02/13 17:58:35
2341250013,台南市南化區衛生所,台南市南化區南化里226－1號,(06)5771139,52,236,2020/02/13 17:58:35
2341300018,台南市龍崎區衛生所,台南市龍崎區崎頂里新市子158號,(06)5941397,0,270,2020/02/13 17:58:35
2342130010,高雄市田寮區衛生所,高雄市田寮區南安里崗北路32號,(07)6361504,0,252,2020/02/13 17:58:35
2342180010,高雄市永安區衛生所,高雄市永安區永安路26號,(07)6912015,2,50,2020/02/13 17:58:35
2342250017,高雄市茂林區衛生所,高雄市茂林區茂林里茂林巷8－4號,(07)6801046,868,270,2020/02/13 17:58:35
2342260013,高雄市桃源區衛生所,高雄市桃源區桃源里南進巷188－1號,(07)6861126,976,316,2020/02/13 17:58:35
2342270019,高雄市那瑪夏區衛生所,高雄市那瑪夏區瑪雅里6鄰平和巷252號,(07)6701142,672,164,2020/02/13 17:58:35
2343240015,屏東縣滿州鄉衛生所,屏東縣滿州鄉滿州村中山路31號,(08)8801279,16,126,2020/02/13 17:58:35
2343260017,屏東縣三地門鄉衛生所,屏東縣三地門鄉三地村行政街4號,(08)7991284,994,312,2020/02/13 17:58:35
2343270013,屏東縣霧台鄉衛生所,屏東縣霧台鄉霧台村神山巷68號,(08)7902232,1407,391,2020/02/13 17:58:35
2343280019,屏東縣瑪家鄉衛生所,屏東縣瑪家鄉北葉村風景巷86號,(08)7991164,0,138,2020/02/13 17:58:35
2343290015,屏東縣泰武鄉衛生所,屏東縣泰武鄉佳平村179號,(08)7832059,1046,304,2020/02/13 17:58:35
2343300016,屏東縣來義鄉衛生所,屏東縣來義鄉古樓村中正路90號,(08)7850103,1036,324,2020/02/13 17:58:35
2343320018,屏東縣獅子鄉衛生所,屏東縣獅子鄉楓林村楓林二巷31號,(08)8771324,1056,318,2020/02/13 17:58:35
